document_id,document_name,document_provider,note
1,외국인 직업 신고서,HR,
2,여권,WORKER,
3,여권용 사진,WORKER,
4,사업자등록증,HR,
5,표준근로계약서,BOTH,
6,마약검사확인서,WORKER,
7,거주숙소제공확인서,HR,
8,숙소제공자신분증,HR,
9,임대차계약서,HR,
10,외국인등록신청서,HR,
11,외국인근로자고용변동등신고서,BOTH,근로자 서명 필요
12,취업기간 만료자 취업활동 기간연장신청서,HR,
13,외국인등록증,WORKER,
14,민원대리인 신청서,HR,
15,본사-지사간 근무중 외국인력현황표,HR,
16,공장등록증,HR,
17,결산서,HR,
18,원가계약서,HR,
19,매입매출 신고서류,HR,
20,사업주도장,HR,
21,취업기간연장확인서,HR,
22,통합신청서,HR,
23,간행물/방송등을 통한 구인노력,HR,
24,개인정보수집이용동의 서류,HR,
25,공휴일 유급휴일 전환 서류,HR,
26,백신접종완료 증빙서류,HR,
27,뿌리산업증명서(고용허가용),HR,
28,사업장 전경 사진,HR,
29,숙소 관련 허가 및 신고자료,HR,
30,신규투자확인서,HR,
31,외국인근로자 고용허가서(원본),HR,
32,외국인근로자 주거시설표,HR,
33,외국인력현황표,HR,
34,일하는 모습 사진,HR,
35,제조업을 확인할 수 있는 서류,HR,
36,조선업 증빙서류,HR,
37,중견기업확인서,HR,
38,중소기업확인서,HR,
39,기숙사 전경 사진,HR,
40,난방시설 사진,HR,
41,냉방시설 사진,HR,
42,세면 및 목욕시설 증빙자료,HR,
43,소화기 설치 증빙자료,HR,
44,수납공간 사진,HR,
45,채광 및 환기시설 사진,HR,
46,침실 사진,HR,
47,침실 잠금장치 사진,HR,
48,화장실 및 목욕시설 잠금장치 사진,HR,
49,화장실 사진,HR,
50,화재감지기 설치 증빙자료,HR,
51,사업장 변경 사유 확인서(사업주용),HR,
52,권역별 사업장변경 동의서,HR,
53,노동시간단축계획 서류,HR,
54,외국인근로자 특례고용가능확인서,HR,
55,300인 이상 사업장 중 자본금 80억원 이하 증명 서류,HR,
