industry_id,major_category,middle_category,business_content_ko,business_content_en,source_id,source_version
IND-31363D554EDB,제조업,1차 금속 제조업,1차 금속 및 관련 제품 제조,Manufacture of Basic Metal and Related Products,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-E41AFFFD2D4B,제조업,1차 금속 제조업,금속 구조재 제조,Manufacture of Metal Structural Components,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-7660554E918F,제조업,1차 금속 제조업,금속 도금 및 도장,Coating and Painting of Metals,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-0725996D9852,제조업,1차 금속 제조업,금속 및 철판 제조,Manufacture of Metal and Iron Boards,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-372F3892F2BE,제조업,1차 금속 제조업,금속 분말 생산,Production of Metal Powder,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-3BF1DE3D1D5B,제조업,1차 금속 제조업,금속 열처리,Heat Treatment of Metals,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-105C5E79DDB5,제조업,1차 금속 제조업,금속 제련,Smelting of Metals,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-6DA68E6AC6E9,제조업,1차 금속 제조업,금속재 제조,Manufacture of Metallic Materials,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-3BE0A54BFAA9,제조업,1차 금속 제조업,금은박 제조,Manufacture of Gold/Silver Plates,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-5600E952339D,제조업,1차 금속 제조업,기타 1차 비철금속 제조,Manufacture of Other Basic Precious and Nonferrous Metals,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-E3528C96FA10,제조업,1차 금속 제조업,기타 구조용 금속제품 제조,Manufacture of Structural Metal Products,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-0542B96E815A,제조업,1차 금속 제조업,기타 금속제품 제조,Manufacture of Other Metallic Products,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-2367527F3C1D,제조업,1차 금속 제조업,납 정련 및 제련,Refining and Smelting of Lead,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-BDAD858AAFBD,제조업,1차 금속 제조업,내마모 특수강 주물 제조,Manufacture of Wear-resistant Special Steel Foundries,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-8548D24424AD,제조업,1차 금속 제조업,"냉연강판, 철강 등 금속제품 생산",Production of Steel and Cold Reduced Carbon Steel,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-34727DA97EA2,제조업,1차 금속 제조업,비철금속 정련 및 제련,Refining and Smelting of Nonferrous Metals,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-EBA593E88B13,제조업,1차 금속 제조업,스테인레스 가공 및 생산,Processing and Production of Stainless Steel,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
IND-2C767F95E77F,제조업,1차 금속 제조업,아연 정련 및 제련,Refining and Smelting of Zinc,SRC-KEIS-ALLOWED-INDUSTRIES,20251121
