requirement_id,application_name,document_name,applicable_scope,requirement_marker,sample_form_available,source_industry_text,source_id,source_version,is_essential,application_id
REQ-E1B320A0C1CD,외국인 고용변동 등 신고,외국인근로자고용변동등신고서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,TRUE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p2
REQ-25784E489DD3,외국인 등록증 발급,거주숙소제공확인서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,TRUE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p1
REQ-8B50566A5400,외국인 등록증 발급,마약검사확인서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,N,p1
REQ-BC9C6FEC2846,외국인 등록증 발급,사업자등록증,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p1
REQ-35FEF0B5C1BE,외국인 등록증 발급,숙소제공자신분증,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p1
REQ-DC5CDF62CE8B,외국인 등록증 발급,여권,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p1
REQ-1AFAE48CA253,외국인 등록증 발급,여권용 사진,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p1
REQ-BFFB818EADB6,외국인 등록증 발급,외국인 직업 신고서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,TRUE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p1
REQ-554F03CF5AC5,외국인 등록증 발급,임대차계약서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p1
REQ-8622D60897D8,외국인 등록증 발급,표준근로계약서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,TRUE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p1
REQ-22F04E8C6C69,체류기간연장허가,거주숙소제공 확인서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,TRUE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p4
REQ-929153C3280B,체류기간연장허가,숙소제공자의 신분증,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p4
REQ-B9ADAF144E4C,체류기간연장허가,여권,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p4
REQ-FEC5F76DFA2D,체류기간연장허가,외국인 등록증,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p4
REQ-72722D7A93A5,체류기간연장허가,임대차계약서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p4
REQ-F8CAB7300B00,체류기간연장허가,취업기간연장확인서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p4
REQ-BE1F3D524B0F,체류기간연장허가,통합신청서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,TRUE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p4
REQ-77AFFAEEED96,취업기간만료자 취업 활동기간 연장신청,결산서,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,제조업,SRC-CURATED-REQUIRED-DOCS,20260721,N,p3
REQ-E84EB5B32FEB,취업기간만료자 취업 활동기간 연장신청,공장등록증,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,제조업,SRC-CURATED-REQUIRED-DOCS,20260721,N,p3
REQ-34E1BC2852FF,취업기간만료자 취업 활동기간 연장신청,매입매출 신고서류,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,제조업,SRC-CURATED-REQUIRED-DOCS,20260721,N,p3
REQ-78F9500AC076,취업기간만료자 취업 활동기간 연장신청,민원대리인 신청서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,TRUE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,N,p3
REQ-6040C82C1E8A,취업기간만료자 취업 활동기간 연장신청,본사-지사간 근무중 외국인력현황표,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,제조업,SRC-CURATED-REQUIRED-DOCS,20260721,N,p3
REQ-38D0FD383DA1,취업기간만료자 취업 활동기간 연장신청,사업자등록증,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p3
REQ-DF89F03B8F7F,취업기간만료자 취업 활동기간 연장신청,사업주도장,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,N,p3
REQ-6E6B8E7234E1,취업기간만료자 취업 활동기간 연장신청,여권,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p3
REQ-995EB110C0DF,취업기간만료자 취업 활동기간 연장신청,외국인등록증,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p3
REQ-DB85FCF5D47D,취업기간만료자 취업 활동기간 연장신청,원가계약서,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,FALSE,제조업,SRC-CURATED-REQUIRED-DOCS,20260721,N,p3
REQ-BD9E9595FF36,취업기간만료자 취업 활동기간 연장신청,취업기간 만료자 취업활동 기간연장신청서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,TRUE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p3
REQ-2DF8B90C9E5E,취업기간만료자 취업 활동기간 연장신청,표준근로계약서,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,TRUE,전업종,SRC-CURATED-REQUIRED-DOCS,20260721,Y,p3
