requirement_id,application_name,document_name,applicable_scope,requirement_marker,sample_form_available,source_industry_text,source_id,source_version
REQ-8DEE842B737A,고용허가발급신청,300인 이상 사업장 중 자본금 80억원 이하 증명 서류,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-D04602E4EF0B,고용허가발급신청,간행물/방송등을 통한 구인노력,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,광업 제조업 어업 농축산업 서비스업 건설업 조선업 임업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-90711C89CA06,고용허가발급신청,개인정보수집이용동의 서류,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,true,광업 제조업 어업 농축산업 서비스업 건설업 조선업 임업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-DB38078C15D7,고용허가발급신청,공장등록증,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-BE237F5358ED,고용허가발급신청,공휴일 유급휴일 전환 서류,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,false,전업종,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-C281F16DDCE9,고용허가발급신청,기타,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,광업 제조업 어업 농축산업 서비스업 건설업 조선업 임업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-F296059D8583,고용허가발급신청,백신접종완료 증빙서류,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,false,전업종,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-E8C346E40BDB,고용허가발급신청,뿌리산업증명서(고용허가용),MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-6BC3AB78C9AA,고용허가발급신청,사업자등록증,MANUFACTURING,REQUIRED,false,광업(필수) 제조업(필수) 어업(필수) 농축산업(필수) 서비스업(필수) 건설업(필수) 조선업(필수) 임업(필수),SRC-KEIS-REQUIRED-DOCS,20250826
REQ-C1EDADD1598A,고용허가발급신청,사업장 전경 사진,MANUFACTURING,REQUIRED,false,광업(필수) 제조업(필수) 어업(필수) 농축산업(필수) 서비스업(필수) 건설업(필수) 조선업(필수) 임업(필수),SRC-KEIS-REQUIRED-DOCS,20250826
REQ-8C763FDBB3F6,고용허가발급신청,"숙소 관련 허가 및 신고자료(임대차계약서, 건축물대장, 가설건축물 허가 등)",MANUFACTURING,REQUIRED,false,광업(필수) 제조업(필수) 어업(필수) 농축산업(필수) 서비스업(필수) 건설업(필수) 조선업(필수) 임업(필수),SRC-KEIS-REQUIRED-DOCS,20250826
REQ-FA142ACA8F03,고용허가발급신청,신규투자확인서,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-8CE35DD3F233,고용허가발급신청,외국인근로자 고용허가서(원본),MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,광업 제조업 어업 농축산업 서비스업 건설업 조선업 임업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-3EC5A2D51BE3,고용허가발급신청,외국인근로자 주거시설표,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,false,전업종,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-21B7B96E5F90,고용허가발급신청,외국인력현황표,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,true,광업 제조업 어업 농축산업 서비스업 건설업(필수) 조선업 임업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-1A72CF2314AC,고용허가발급신청,일하는 모습 사진,MANUFACTURING,REQUIRED,false,광업(필수) 제조업(필수) 어업(필수) 농축산업(필수) 서비스업(필수) 건설업(필수) 조선업(필수) 임업(필수),SRC-KEIS-REQUIRED-DOCS,20250826
REQ-5D911700A9E0,고용허가발급신청,제조업을 확인할 수 있는 서류,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-5F942390F948,고용허가발급신청,조선업 증빙서류,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업 조선업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-48F9E30BF429,고용허가발급신청,중견기업확인서,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-25133DB44ACA,고용허가발급신청,중소기업확인서,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-45E01D19D089,고용허가연장신청 특례외국인 계약연장 신고,사업자등록증,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업 어업 농축산업 서비스업 건설업 조선업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-DE295A57ED23,고용허가연장신청 특례외국인 계약연장 신고,여권,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업 어업 농축산업 서비스업 건설업 조선업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-A4718505B8A1,고용허가연장신청 특례외국인 계약연장 신고,외국인등록증,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업 어업 농축산업 서비스업 건설업 조선업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-705DC5AA5DEF,고용허가연장신청 특례외국인 계약연장 신고,표준근로계약서,MANUFACTURING,REQUIRED,false,제조업(필수) 어업(필수) 농축산업(필수) 서비스업(필수) 건설업(필수) 조선업(필수),SRC-KEIS-REQUIRED-DOCS,20250826
REQ-2A7BA475CE31,고용허가재발급신청,300인 이상 사업장 중 자본금 80억원 이하 증명 서류,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-40F5DEBC01DE,고용허가재발급신청,간행물/방송등을 통한 구인노력,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,광업 제조업 어업 농축산업 서비스업 건설업 조선업 임업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-F369A7EC7BC7,고용허가재발급신청,개인정보수집이용동의 서류,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,true,광업 제조업 어업 농축산업 서비스업 건설업 조선업 임업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-48218637A13F,고용허가재발급신청,공장등록증,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,제조업,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-A99F18B7AB40,고용허가재발급신청,공휴일 유급휴일 전환 서류,ALL_INDUSTRIES,OFFICIAL_CONFIRMATION_REQUIRED,false,전업종,SRC-KEIS-REQUIRED-DOCS,20250826
REQ-CEA35329454E,고용허가재발급신청,기타,MANUFACTURING,OFFICIAL_CONFIRMATION_REQUIRED,false,광업 제조업 어업 농축산업 서비스업 건설업 조선업 임업,SRC-KEIS-REQUIRED-DOCS,20250826
