case_id,reviewer,subject_lookup_decision,intent_workflow_decision,notice_core_value_decision,guardrail_decision,proposed_changes_json,review_note
E2E-001,,PENDING,PENDING,PENDING,PENDING,{},
E2E-002,,PENDING,PENDING,PENDING,PENDING,{},
E2E-003,,PENDING,PENDING,NOT_APPLICABLE,PENDING,{},
E2E-004,,PENDING,PENDING,NOT_APPLICABLE,PENDING,{},
E2E-005,,PENDING,PENDING,NOT_APPLICABLE,PENDING,{},
E2E-006,,PENDING,PENDING,NOT_APPLICABLE,PENDING,{},
E2E-007,,PENDING,PENDING,NOT_APPLICABLE,PENDING,{},
E2E-008,,PENDING,PENDING,NOT_APPLICABLE,PENDING,{},
E2E-009,,PENDING,PENDING,PENDING,PENDING,{},
E2E-010,,NOT_APPLICABLE,PENDING,NOT_APPLICABLE,PENDING,{},
